wdst	wodst	permdst
AL	2042077.7496395	1995003.49737183	1971333.17239364
AZ	2739471.023061	2739471.023061	2583177.42719229
AR	1242333.56511947	1229123.58688869	1179436.6025865
CA	16077723.1423238	15741622.4103463	15405774.6051289
CO	2191379.98129199	2151155.06283403	2075439.39548289
CT	1544662.47480927	1509606.05299241	1463502.41113766
DE	386770.488303665	380042.154896436	365865.522973545
GA	4030031.57762848	4057801.92555195	3798664.84419758
HI	564811.266419788	564811.266419788	536045.399655293
IL	5547980.03646923	5426637.59103599	5251183.74131848
IN	2755536.72222634	2735558.67879668	2580727.13031008
IA	1299817.12258249	1286877.29290845	1215131.77507411
KS	1204086.04472085	1202439.8932519	1128233.53918355
KY	1825447.38293154	1825994.22490059	1711114.65698564
LA	1914788.60134937	1891052.63046287	1837108.63384367
MD	2475889.14213892	2442337.41798135	2336593.55293352
MA	2843582.06132208	2764775.2598272	2703337.0158766
MI	4083098.56672467	4106315.75256698	3785829.64187014
MN	2246609.13463099	2227254.73130802	2084054.02394045
MS	1262500.67690697	1238980.95692239	1215164.54943037
MO	2560649.26800163	2531221.24249821	2416013.3139102
MT	414369.704888716	412507.598660718	383255.108742908
NE	770349.220457923	768936.557633167	718358.250903077
NM	897230.966236047	884232.570776865	856413.444972246
NY	8361412.32304516	8192226.61015716	7892937.18492961
NC	4041518.20569271	4017880.0292581	3820941.06711901
ND	277601.89899208	277959.091121757	255788.205850492
OH	4823752.19067007	4832983.71393564	4494813.05295372
OK	1576279.56967553	1578951.8411965	1482896.86614496
OR	1621189.06567189	1602339.23449117	1511374.68034186
PA	5450426.47476814	5379705.09490848	5125563.28328477
SC	1942605.09109864	1942395.1481962	1835300.02499143
SD	344000.588281491	342235.64382313	319717.19707203
TN	2715480.28730519	2681378.0111397	2578871.6689932
TX	10503918.8086288	10541993.3888326	9964136.32362272
UT	1170964.51348535	1170269.24923791	1095441.70375857
VA	3418209.28970135	3380060.58092968	3228287.95911599
WA	2833387.23056976	2792972.17733037	2627917.75035755
WV	785672.983767838	782414.278643803	737086.709572899
WI	2459612.06387302	2405985.03877708	2315892.33153287
